Kulbicki,MEOW,ID,NA_,Lon,Lat,Management,RetentC,RetentP,RetentR,RetentT,RetentC5,RetentP5,RetentR15,RetentT15,OutflowC5,OutflowP5,OutflowR15,OutflowT15,InflowC5,InflowP5,InflowR15,InflowT15,OutDegC5,OutDegP5,OutDegR15,OutDegT15,InDegC5,InDegP5,InDegR15,InDegT15,OutflowC,OutflowP,OutflowR,OutflowT,InflowC,InflowP,InflowR,InflowT,OutDegC,OutDegP,OutDegR,OutDegT,InDegC,InDegP,InDegR,InDegT,NetflowC5,NetflowR15,NetflowP5,NetflowT15,NetflowC,NetflowR,NetflowP,NetflowT,source_cell_id,cell_id,netflow,sovereign_state,protected,in_mpa,in_oecm,protection_class,n_cells,q25_netflow,q75_netflow,is_country_sink,is_country_source,is_wio_sink,is_wio_source
Western Indian,Western Indian Ocean,14710,V14710,50.52,-15.46,Fished,10,30,25,120,410,384,39,72,3357,2486,2131,1599,2244,1920,587,564,39,15,78,25,25,20,27,12,2160,2328,2320,2190,1215,814,835,825,67,70,70,18,27,24,24,19,0.198714515,0.568064753,0.128461189,0.47850208,0.28,0.470681458,0.481858689,0.452736318,14710,CELL014710,0.198714515,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14711,V14711,50.52,-15.38,Fished,0,0,0,0,130,96,17,18,3176,2402,2138,1620,918,910,507,345,35,16,62,31,23,22,28,16,2430,2192,2380,1620,570,536,540,1050,54,62,62,12,22,16,16,12,0.551538837,0.616635161,0.450483092,0.648854962,0.62,0.630136986,0.607038123,0.213483146,14711,CELL014711,0.551538837,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14712,V14712,50.36,-15.78,MPA,0,0,0,0,0,0,0,0,1337,730,860,432,2229,1794,580,555,140,42,164,41,28,16,27,20,1100,3154,2135,675,580,646,515,180,112,115,115,33,28,22,22,10,-0.250140213,0.194444444,-0.42155309,-0.124620061,0.30952381,0.611320755,0.66,0.578947368,14712,CELL014712,-0.250140213,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14713,V14713,50.52,-15.22,Fished,25,28,20,0,171,336,10,24,2832,2248,1165,924,1541,2026,683,639,90,29,136,65,24,15,27,18,1005,2092,1430,675,765,984,960,1245,88,76,76,22,27,30,30,14,0.295220672,0.260822511,0.051941975,0.182341651,0.13559322,0.19665272,0.360208062,-0.296875,14713,CELL014713,0.295220672,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,TRUE,FALSE,FALSE
Western Indian,Western Indian Ocean,14714,V14714,50.12,-16.02,Fished,5,0,0,0,42,88,2,3,2456,2132,1084,969,1127,740,644,537,110,42,139,65,18,13,24,19,865,2644,1760,570,380,554,435,270,87,97,97,24,26,19,19,8,0.370918225,0.25462963,0.484679666,0.28685259,0.389558233,0.603644647,0.653533458,0.357142857,14714,CELL014714,0.370918225,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14715,V14715,50.2,-16.02,Fished,0,0,0,0,0,0,0,0,1353,850,862,468,1940,1130,979,585,163,56,178,55,26,16,24,17,1235,3440,2450,315,790,650,525,315,132,123,123,17,28,22,22,12,-0.178256909,-0.063552417,-0.141414141,-0.111111111,0.219753086,0.647058824,0.682151589,0,14715,CELL014715,-0.178256909,Madagascar,TRUE,TRUE,FALSE,MPA only,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14716,V14716,50.36,-15.86,Fished,120,60,100,210,993,814,344,309,2910,2276,1276,1137,6444,5798,3321,2835,65,36,122,59,16,12,24,21,1075,2448,1670,810,3300,1902,3005,2460,80,89,89,22,32,35,35,30,-0.377806286,-0.44485534,-0.436215011,-0.427492447,-0.508571429,-0.285561497,0.125517241,-0.504587156,14716,CELL014716,-0.377806286,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,TRUE,FALSE,TRUE,FALSE
Western Indian,Western Indian Ocean,14717,V14717,50.28,-15.94,Fished,0,0,0,0,117,246,0,0,3092,2420,1207,1029,4381,2852,1788,981,70,23,124,49,21,12,24,13,1000,2230,1475,495,1130,1056,1090,465,100,82,82,22,29,31,31,16,-0.172487622,-0.193989983,-0.081942337,0.023880597,-0.061032864,0.150097466,0.357273281,0.03125,14717,CELL014717,-0.172487622,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
Western Indian,Western Indian Ocean,14718,V14718,49.4,-12.1,Fished,0,32,30,0,101,128,6,0,2752,1794,1562,1230,1100,976,352,339,54,38,104,51,18,10,27,19,755,2004,1510,690,595,642,555,465,55,70,70,20,20,21,21,10,0.42886812,0.632183908,0.295306859,0.567877629,0.118518519,0.462469734,0.514739229,0.194805195,14718,CELL014718,0.42886812,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,TRUE,FALSE,TRUE
Western Indian,Western Indian Ocean,14719,V14719,49.8,-12.74,Fished,0,0,0,0,195,118,19,0,2840,1840,1445,1290,1937,1380,542,516,55,36,110,45,18,10,25,18,865,1874,1335,540,675,672,630,345,68,67,67,19,26,21,21,9,0.189030772,0.454453951,0.142857143,0.428571429,0.123376623,0.358778626,0.472113119,0.220338983,14719,CELL014719,0.189030772,Madagascar,FALSE,FALSE,FALSE,Unprotected,199,-0.174266899,0.28266797099999996,FALSE,FALSE,FALSE,FALSE
